readcode	term_readcode	subgroup
H054.	Recurrent upper respiratory tract infection	upper respiratory
H58y5	Respiratory bronchiolitis associated interstitial lung dis	lower respiratory
XaXlE	Respiratory bronchiolitis associated interstitial lung disease	lower respiratory
H5yy.	Respiratory infection NOS	not specific
A79A.	Respiratory syncytial virus infection	lower respiratory
Xa0BK	RSV - Respiratory syncytial virus infection	lower respiratory
XM1QW	RTI - Respiratory tract infection	not specific
H060v	Subacute bronchitis unspecified	lower respiratory
Xa87h	Tracheitis	lower respiratory
XaDtg	Tracheobronchitis	lower respiratory
H300.	Tracheobronchitis NOS	lower respiratory
H053.	Tracheopharyngitis	lower respiratory
H05z.	Upper respiratory infection NOS	upper respiratory
XE0Xq	Upper respiratory infection NOS	upper respiratory
Xa1sb	URTI - Viral upper respiratory tract infection	upper respiratory
A521.	Varicella pneumonitis	lower respiratory
X00n7	Viral epiglottitis	upper respiratory
XaDcV	Viral lower respiratory infection	lower respiratory
XE0YG	Viral pneumonia	lower respiratory
H20..	Viral pneumonia (& chest infection)	lower respiratory
H20y.	Viral pneumonia NEC	lower respiratory
H20z.	Viral pneumonia NOS	lower respiratory
XaDcT	Viral respiratory infection	not specific
X1003	Viral upper respiratory tract infection NOS	upper respiratory
H302.	Wheezy bronchitis	lower respiratory
